stage,domain_name,min_x,mean_x,max_x,min_y,mean_y,max_y,min_z,mean_z,max_z
TS17,Wnt10B,-122,-9,123,-191,-49,57,0,986,1375
TS17,Wnt11,-120,-1,122,-196,-57,64,0,916,1592
TS17,Wnt16,-97,-9,109,-183,5,63,0,1020,1471
TS17,Wnt2,-96,-4,82,-197,-82,60,0,1035,1564
TS17,Wnt2B,-83,3,91,-185,24,56,31,336,1340
TS17,Wnt3,-118,-2,114,-192,-9,65,0,655,1591
TS17,Wnt3A,-84,2,86,-181,30,64,0,457,1409
TS17,Wnt4,-100,0,96,-190,-4,65,0,788,1581
TS17,Wnt5A,-122,4,123,-191,-29,66,0,661,1589
TS17,Wnt5B,-83,5,85,-188,-33,49,0,516,1591
TS17,Wnt6,-123,-2,123,-194,-34,66,0,788,1590
TS17,Wnt7A,-122,-5,123,-188,-4,62,0,649,1576
TS17,Wnt7B,-97,1,107,-191,-10,57,0,541,1564
TS17,Wnt8A,-66,-2,77,-177,-48,50,0,806,1421
TS17,Wnt8B,-75,0,78,-154,18,52,0,113,1357
TS17,Wnt9A,-72,-2,117,-185,-26,64,0,673,1580
TS17,Wnt9B,-122,-11,116,-182,-99,63,0,612,1591
